compliantid,policyid,transactionref,description,status,datetime
COM-81,PLY-20,TXN-COM-81,Change of contact number,rejected,2016-03-16
COM-82,PLY-20,TXN-COM-82,Portal access,resolved,2018-02-09
COM-83,PLY-21,TXN-COM-83,Renewal intimation letter not received,resolved,2016-08-04
COM-84,PLY-21,TXN-COM-84,Portal access,resolved,2015-12-17
COM-85,PLY-21,TXN-COM-85,Portal access,resolved,2015-06-25
COM-86,PLY-22,TXN-COM-86,Portal stuck in middle,rejected,2017-12-28
COM-87,PLY-22,TXN-COM-87,Portal stuck in middle,resolved,2018-04-13
COM-88,PLY-22,TXN-COM-88,Portal stuck in middle,resolved,2016-11-18
COM-89,PLY-22,TXN-COM-89,Renewal intimation letter not received,resolved,2017-04-23
COM-90,PLY-22,TXN-COM-90,Change of contact number,resolved,2017-09-16
COM-91,PLY-23,TXN-COM-91,Portal access,rejected,2016-02-05
COM-92,PLY-23,TXN-COM-92,Online portal not working,resolved,2016-09-16
COM-93,PLY-23,TXN-COM-93,Portal access,rejected,2016-07-19
COM-94,PLY-24,TXN-COM-94,Portal stuck in middle,rejected,2015-09-10
COM-95,PLY-24,TXN-COM-95,Change of contact number,resolved,2016-07-25
COM-96,PLY-24,TXN-COM-96,Renewal intimation letter not received,resolved,2018-11-05
COM-97,PLY-24,TXN-COM-97,Portal stuck in middle,rejected,2017-02-16
COM-98,PLY-24,TXN-COM-98,Portal access,resolved,2015-08-14
COM-99,PLY-25,TXN-COM-99,Change of contact number,resolved,2017-07-15
COM-100,PLY-25,TXN-COM-100,Renewal intimation letter not received,rejected,2015-11-05
COM-101,PLY-25,TXN-COM-101,Change of mailing address,resolved,2015-11-17
COM-102,PLY-26,TXN-COM-102,Portal stuck in middle,resolved,2016-09-27
COM-103,PLY-26,TXN-COM-103,Online portal not working,rejected,2017-11-26
COM-104,PLY-26,TXN-COM-104,Online portal not working,resolved,2018-01-19
COM-105,PLY-26,TXN-COM-105,Portal stuck in middle,resolved,2018-02-18
COM-106,PLY-26,TXN-COM-106,Online portal not working,resolved,2016-10-10
COM-107,PLY-27,TXN-COM-107,Portal stuck in middle,resolved,2018-02-17
COM-108,PLY-27,TXN-COM-108,Renewal intimation letter not received,resolved,2016-10-06
COM-109,PLY-27,TXN-COM-109,Change of contact number,resolved,2017-11-19
COM-110,PLY-28,TXN-COM-110,Portal access,resolved,2017-11-24
COM-111,PLY-28,TXN-COM-111,Portal stuck in middle,resolved,2018-05-07
COM-112,PLY-28,TXN-COM-112,Change of mailing address,resolved,2015-08-12
COM-113,PLY-28,TXN-COM-113,Renewal intimation letter not received,resolved,2015-08-11
COM-114,PLY-28,TXN-COM-114,Change of mailing address,rejected,2018-05-19
COM-115,PLY-29,TXN-COM-115,Change of contact number,resolved,2016-07-29
COM-116,PLY-29,TXN-COM-116,Online portal not working,resolved,2017-04-08
COM-117,PLY-29,TXN-COM-117,Portal access,resolved,2015-12-30
COM-118,PLY-30,TXN-COM-118,Portal stuck in middle,resolved,2016-01-09
COM-119,PLY-30,TXN-COM-119,Change of mailing address,rejected,2018-05-01
COM-120,PLY-30,TXN-COM-120,Change of contact number,resolved,2017-01-22
COM-121,PLY-30,TXN-COM-121,Portal access,resolved,2015-11-15
COM-122,PLY-30,TXN-COM-122,Change of mailing address,resolved,2016-07-25
COM-123,PLY-31,TXN-COM-123,Portal access,resolved,2018-11-07
COM-124,PLY-31,TXN-COM-124,Change of contact number,resolved,2017-09-01
COM-125,PLY-31,TXN-COM-125,Change of contact number,resolved,2016-06-14
COM-126,PLY-32,TXN-COM-126,Portal stuck in middle,resolved,2016-05-07
COM-127,PLY-32,TXN-COM-127,Change of contact number,resolved,2018-01-13
COM-128,PLY-32,TXN-COM-128,Portal stuck in middle,resolved,2016-11-15
COM-129,PLY-32,TXN-COM-129,Change of mailing address,rejected,2016-01-08
COM-130,PLY-32,TXN-COM-130,Online portal not working,resolved,2017-02-06
COM-131,PLY-33,TXN-COM-131,Change of contact number,resolved,2016-02-08
COM-132,PLY-33,TXN-COM-132,Renewal intimation letter not received,rejected,2018-05-23
COM-133,PLY-33,TXN-COM-133,Change of contact number,resolved,2017-05-19
COM-134,PLY-34,TXN-COM-134,Renewal intimation letter not received,resolved,2018-05-14
COM-135,PLY-34,TXN-COM-135,Change of mailing address,resolved,2018-07-20
COM-136,PLY-34,TXN-COM-136,Change of mailing address,resolved,2017-06-17
COM-137,PLY-34,TXN-COM-137,Change of contact number,resolved,2018-01-11
COM-138,PLY-34,TXN-COM-138,Online portal not working,resolved,2018-07-12
COM-139,PLY-35,TXN-COM-139,Renewal intimation letter not received,resolved,2015-08-31
COM-140,PLY-35,TXN-COM-140,Portal access,resolved,2018-10-17
COM-141,PLY-35,TXN-COM-141,Change of contact number,resolved,2016-08-15
COM-142,PLY-36,TXN-COM-142,Portal stuck in middle,rejected,2016-09-05
COM-143,PLY-36,TXN-COM-143,Change of contact number,resolved,2015-11-29
COM-144,PLY-36,TXN-COM-144,Change of mailing address,resolved,2017-07-05
COM-145,PLY-36,TXN-COM-145,Portal stuck in middle,resolved,2015-06-12
COM-146,PLY-36,TXN-COM-146,Change of mailing address,resolved,2017-02-03
COM-147,PLY-37,TXN-COM-147,Online portal not working,resolved,2018-04-07
COM-148,PLY-37,TXN-COM-148,Change of mailing address,resolved,2015-12-26
COM-149,PLY-37,TXN-COM-149,Renewal intimation letter not received,resolved,2018-01-02
COM-150,PLY-38,TXN-COM-150,Online portal not working,resolved,2016-11-03
COM-151,PLY-38,TXN-COM-151,Portal access,resolved,2015-11-22
COM-152,PLY-38,TXN-COM-152,Change of contact number,rejected,2017-10-19
COM-153,PLY-38,TXN-COM-153,Portal stuck in middle,resolved,2017-12-30
COM-154,PLY-38,TXN-COM-154,Renewal intimation letter not received,resolved,2017-07-01
COM-155,PLY-39,TXN-COM-155,Change of contact number,resolved,2016-07-23
COM-156,PLY-39,TXN-COM-156,Online portal not working,resolved,2016-08-08
COM-157,PLY-39,TXN-COM-157,Renewal intimation letter not received,resolved,2017-03-17
COM-158,PLY-40,TXN-COM-158,Online portal not working,resolved,2017-05-11
COM-159,PLY-40,TXN-COM-159,Portal access,resolved,2018-03-07
COM-160,PLY-40,TXN-COM-160,Renewal intimation letter not received,resolved,2018-01-06
COM-161,PLY-40,TXN-COM-161,Change of contact number,resolved,2017-12-01
COM-162,PLY-40,TXN-COM-162,Online portal not working,rejected,2017-11-11
COM-163,PLY-41,TXN-COM-163,Change of contact number,resolved,2018-05-21
COM-164,PLY-41,TXN-COM-164,Online portal not working,rejected,2017-11-03
COM-165,PLY-41,TXN-COM-165,Portal access,rejected,2018-01-31
COM-166,PLY-42,TXN-COM-166,Portal stuck in middle,resolved,2016-10-23
COM-167,PLY-42,TXN-COM-167,Portal stuck in middle,resolved,2016-05-20
COM-168,PLY-42,TXN-COM-168,Change of mailing address,resolved,2016-08-28
COM-169,PLY-42,TXN-COM-169,Change of mailing address,resolved,2018-08-25
COM-170,PLY-42,TXN-COM-170,Change of contact number,resolved,2016-08-25
COM-171,PLY-43,TXN-COM-171,Online portal not working,resolved,2016-08-03
COM-172,PLY-43,TXN-COM-172,Portal access,resolved,2017-05-25
COM-173,PLY-43,TXN-COM-173,Portal stuck in middle,resolved,2018-11-08
COM-174,PLY-44,TXN-COM-174,Change of contact number,resolved,2018-10-23
COM-175,PLY-44,TXN-COM-175,Portal stuck in middle,resolved,2017-11-07
COM-176,PLY-44,TXN-COM-176,Change of contact number,rejected,2016-07-27
COM-177,PLY-44,TXN-COM-177,Online portal not working,resolved,2016-12-29
COM-178,PLY-44,TXN-COM-178,Change of contact number,resolved,2017-12-29
COM-179,PLY-45,TXN-COM-179,Online portal not working,rejected,2016-10-22
COM-180,PLY-45,TXN-COM-180,Portal access,resolved,2015-03-10
COM-181,PLY-45,TXN-COM-181,Change of contact number,resolved,2016-11-02
COM-182,PLY-46,TXN-COM-182,Online portal not working,rejected,2017-03-10
COM-183,PLY-46,TXN-COM-183,Portal access,resolved,2016-04-13
COM-184,PLY-46,TXN-COM-184,Online portal not working,resolved,2017-08-20
COM-185,PLY-46,TXN-COM-185,Change of contact number,resolved,2015-01-20
COM-186,PLY-46,TXN-COM-186,Change of contact number,resolved,2016-09-17
COM-187,PLY-47,TXN-COM-187,Change of mailing address,resolved,2018-05-30
COM-188,PLY-47,TXN-COM-188,Renewal intimation letter not received,resolved,2015-07-18
COM-189,PLY-47,TXN-COM-189,Renewal intimation letter not received,rejected,2018-10-12
COM-190,PLY-48,TXN-COM-190,Online portal not working,rejected,2017-08-29
COM-191,PLY-48,TXN-COM-191,Change of contact number,resolved,2017-01-07
COM-192,PLY-48,TXN-COM-192,Change of contact number,resolved,2018-05-14
COM-193,PLY-48,TXN-COM-193,Change of mailing address,rejected,2015-12-30
COM-194,PLY-48,TXN-COM-194,Portal access,resolved,2016-07-14
COM-195,PLY-49,TXN-COM-195,Renewal intimation letter not received,resolved,2015-05-24
COM-196,PLY-49,TXN-COM-196,Portal stuck in middle,resolved,2016-01-17
COM-197,PLY-49,TXN-COM-197,Change of contact number,resolved,2016-11-28
COM-198,PLY-50,TXN-COM-198,Change of mailing address,resolved,2016-11-14
COM-199,PLY-50,TXN-COM-199,Portal access,resolved,2017-06-12
COM-200,PLY-50,TXN-COM-200,Change of mailing address,rejected,2017-06-17
COM-201,PLY-50,TXN-COM-201,Change of contact number,resolved,2015-02-14
COM-202,PLY-50,TXN-COM-202,Change of mailing address,rejected,2017-08-07
COM-203,PLY-51,TXN-COM-203,Portal access,resolved,2018-11-03
COM-204,PLY-51,TXN-COM-204,Portal stuck in middle,resolved,2016-08-31
COM-205,PLY-51,TXN-COM-205,Change of contact number,resolved,2016-01-20
COM-206,PLY-52,TXN-COM-206,Renewal intimation letter not received,rejected,2018-08-17
COM-207,PLY-52,TXN-COM-207,Online portal not working,rejected,2018-08-16
COM-208,PLY-52,TXN-COM-208,Change of mailing address,resolved,2018-11-15
COM-209,PLY-52,TXN-COM-209,Change of mailing address,resolved,2018-02-15
COM-210,PLY-52,TXN-COM-210,Portal stuck in middle,resolved,2018-07-01
COM-211,PLY-53,TXN-COM-211,Online portal not working,resolved,2018-02-10
COM-212,PLY-53,TXN-COM-212,Portal access,resolved,2016-05-28
COM-213,PLY-53,TXN-COM-213,Renewal intimation letter not received,rejected,2015-10-03
COM-214,PLY-54,TXN-COM-214,Portal access,rejected,2017-05-14
COM-215,PLY-54,TXN-COM-215,Online portal not working,resolved,2017-03-23
COM-216,PLY-54,TXN-COM-216,Online portal not working,resolved,2015-11-11
COM-217,PLY-54,TXN-COM-217,Change of contact number,resolved,2017-07-29
COM-218,PLY-54,TXN-COM-218,Change of contact number,resolved,2015-01-12
COM-219,PLY-55,TXN-COM-219,Change of mailing address,resolved,2018-02-17
COM-220,PLY-55,TXN-COM-220,Portal stuck in middle,resolved,2016-05-17
COM-221,PLY-55,TXN-COM-221,Change of mailing address,resolved,2017-06-30
COM-222,PLY-56,TXN-COM-222,Online portal not working,resolved,2015-07-04
COM-223,PLY-56,TXN-COM-223,Change of contact number,resolved,2016-05-06
COM-224,PLY-56,TXN-COM-224,Portal access,resolved,2015-10-27
COM-225,PLY-56,TXN-COM-225,Online portal not working,resolved,2017-05-27
COM-226,PLY-56,TXN-COM-226,Online portal not working,resolved,2015-11-09
COM-227,PLY-57,TXN-COM-227,Portal access,resolved,2015-12-03
COM-228,PLY-57,TXN-COM-228,Online portal not working,rejected,2016-02-22
COM-229,PLY-57,TXN-COM-229,Portal stuck in middle,resolved,2017-11-01
COM-230,PLY-58,TXN-COM-230,Change of mailing address,resolved,2017-06-06
COM-231,PLY-58,TXN-COM-231,Portal stuck in middle,resolved,2018-07-04
COM-232,PLY-58,TXN-COM-232,Change of contact number,resolved,2015-11-15
COM-233,PLY-58,TXN-COM-233,Renewal intimation letter not received,resolved,2018-02-16
COM-234,PLY-58,TXN-COM-234,Change of contact number,resolved,2015-05-17
COM-235,PLY-59,TXN-COM-235,Online portal not working,resolved,2017-07-20
COM-236,PLY-59,TXN-COM-236,Change of contact number,resolved,2015-02-04
COM-237,PLY-59,TXN-COM-237,Portal access,resolved,2016-01-05
COM-238,PLY-60,TXN-COM-238,Renewal intimation letter not received,resolved,2017-06-08
COM-239,PLY-60,TXN-COM-239,Online portal not working,resolved,2016-09-09
COM-240,PLY-60,TXN-COM-240,Portal access,resolved,2016-02-19
COM-241,PLY-60,TXN-COM-241,Change of mailing address,resolved,2018-05-09
COM-242,PLY-60,TXN-COM-242,Portal stuck in middle,resolved,2018-06-28
COM-243,PLY-61,TXN-COM-243,Online portal not working,resolved,2015-01-17
COM-244,PLY-61,TXN-COM-244,Portal access,resolved,2015-12-29
COM-245,PLY-61,TXN-COM-245,Renewal intimation letter not received,resolved,2016-11-26
COM-246,PLY-62,TXN-COM-246,Online portal not working,resolved,2015-01-30
COM-247,PLY-62,TXN-COM-247,Renewal intimation letter not received,resolved,2017-06-29
COM-248,PLY-62,TXN-COM-248,Online portal not working,resolved,2017-02-15
COM-249,PLY-62,TXN-COM-249,Portal access,resolved,2015-04-01
COM-250,PLY-62,TXN-COM-250,Portal access,resolved,2016-03-14
COM-251,PLY-63,TXN-COM-251,Renewal intimation letter not received,resolved,2017-09-29
COM-252,PLY-63,TXN-COM-252,Change of contact number,resolved,2015-01-03
COM-253,PLY-63,TXN-COM-253,Online portal not working,resolved,2015-06-10
COM-254,PLY-64,TXN-COM-254,Change of mailing address,resolved,2015-12-12
COM-255,PLY-64,TXN-COM-255,Change of mailing address,rejected,2016-03-04
COM-256,PLY-64,TXN-COM-256,Change of contact number,resolved,2017-07-23
COM-257,PLY-64,TXN-COM-257,Portal stuck in middle,rejected,2016-03-11
COM-258,PLY-64,TXN-COM-258,Change of contact number,rejected,2015-05-30
COM-259,PLY-65,TXN-COM-259,Change of mailing address,resolved,2015-09-12
COM-260,PLY-65,TXN-COM-260,Online portal not working,resolved,2018-01-07
COM-261,PLY-65,TXN-COM-261,Portal stuck in middle,resolved,2015-02-01
COM-262,PLY-66,TXN-COM-262,Renewal intimation letter not received,resolved,2018-09-23
COM-263,PLY-66,TXN-COM-263,Change of contact number,resolved,2016-07-23
COM-264,PLY-66,TXN-COM-264,Portal stuck in middle,resolved,2017-11-07
COM-265,PLY-66,TXN-COM-265,Renewal intimation letter not received,resolved,2017-04-06
COM-266,PLY-66,TXN-COM-266,Renewal intimation letter not received,resolved,2018-01-20
COM-267,PLY-67,TXN-COM-267,Change of mailing address,rejected,2015-10-01
COM-268,PLY-67,TXN-COM-268,Change of mailing address,rejected,2017-05-31
COM-269,PLY-67,TXN-COM-269,Portal access,resolved,2016-10-01
COM-270,PLY-68,TXN-COM-270,Portal access,rejected,2015-12-03
COM-271,PLY-68,TXN-COM-271,Online portal not working,resolved,2015-06-20
COM-272,PLY-68,TXN-COM-272,Change of mailing address,resolved,2016-08-26
COM-273,PLY-68,TXN-COM-273,Change of mailing address,resolved,2017-10-02
COM-274,PLY-68,TXN-COM-274,Change of mailing address,resolved,2015-01-29
COM-275,PLY-69,TXN-COM-275,Portal access,rejected,2018-01-31
COM-276,PLY-69,TXN-COM-276,Portal stuck in middle,resolved,2018-10-21
COM-277,PLY-69,TXN-COM-277,Renewal intimation letter not received,resolved,2017-11-03
COM-278,PLY-70,TXN-COM-278,Change of contact number,resolved,2017-11-06
COM-279,PLY-70,TXN-COM-279,Change of mailing address,rejected,2017-09-22
COM-280,PLY-70,TXN-COM-280,Portal access,resolved,2015-12-27
COM-281,PLY-70,TXN-COM-281,Online portal not working,rejected,2015-10-19
COM-282,PLY-70,TXN-COM-282,Change of mailing address,resolved,2018-04-06
COM-283,PLY-71,TXN-COM-283,Change of contact number,resolved,2017-06-17
COM-284,PLY-71,TXN-COM-284,Online portal not working,resolved,2018-05-11
COM-285,PLY-71,TXN-COM-285,Change of contact number,resolved,2015-06-26
COM-286,PLY-72,TXN-COM-286,Portal stuck in middle,resolved,2017-06-28
COM-287,PLY-72,TXN-COM-287,Portal access,resolved,2017-02-22
COM-288,PLY-72,TXN-COM-288,Change of contact number,resolved,2016-06-07
COM-289,PLY-72,TXN-COM-289,Online portal not working,resolved,2017-08-11
COM-290,PLY-72,TXN-COM-290,Portal stuck in middle,resolved,2016-02-25
COM-291,PLY-73,TXN-COM-291,Change of contact number,resolved,2015-06-28
COM-292,PLY-73,TXN-COM-292,Change of contact number,resolved,2015-11-11
COM-293,PLY-73,TXN-COM-293,Change of mailing address,resolved,2018-01-14
COM-294,PLY-74,TXN-COM-294,Portal access,resolved,2016-12-31
COM-295,PLY-74,TXN-COM-295,Portal stuck in middle,rejected,2018-05-03
COM-296,PLY-74,TXN-COM-296,Portal stuck in middle,resolved,2017-08-26
COM-297,PLY-74,TXN-COM-297,Portal access,resolved,2015-12-28
COM-298,PLY-74,TXN-COM-298,Online portal not working,resolved,2016-11-24
COM-299,PLY-75,TXN-COM-299,Portal access,resolved,2017-06-02
COM-300,PLY-75,TXN-COM-300,Change of mailing address,resolved,2017-04-03
COM-301,PLY-75,TXN-COM-301,Change of mailing address,resolved,2018-11-26
COM-302,PLY-76,TXN-COM-302,Change of contact number,resolved,2016-09-12
COM-303,PLY-76,TXN-COM-303,Renewal intimation letter not received,rejected,2015-06-10
COM-304,PLY-76,TXN-COM-304,Renewal intimation letter not received,resolved,2016-12-24
COM-305,PLY-76,TXN-COM-305,Portal stuck in middle,resolved,2018-05-13
COM-306,PLY-76,TXN-COM-306,Portal stuck in middle,resolved,2018-07-29
COM-307,PLY-77,TXN-COM-307,Change of contact number,resolved,2018-02-06
COM-308,PLY-77,TXN-COM-308,Renewal intimation letter not received,resolved,2015-12-30
COM-309,PLY-77,TXN-COM-309,Portal access,resolved,2018-10-15
COM-310,PLY-78,TXN-COM-310,Change of mailing address,resolved,2015-08-10
COM-311,PLY-78,TXN-COM-311,Portal access,resolved,2015-07-07
COM-312,PLY-78,TXN-COM-312,Online portal not working,rejected,2016-05-28
COM-313,PLY-78,TXN-COM-313,Change of contact number,resolved,2016-07-17
COM-314,PLY-78,TXN-COM-314,Change of mailing address,resolved,2015-02-09
COM-315,PLY-79,TXN-COM-315,Renewal intimation letter not received,rejected,2016-06-11
COM-316,PLY-79,TXN-COM-316,Renewal intimation letter not received,resolved,2015-06-22
COM-317,PLY-79,TXN-COM-317,Portal stuck in middle,resolved,2016-11-20
COM-318,PLY-80,TXN-COM-318,Portal stuck in middle,resolved,2017-04-04
COM-319,PLY-80,TXN-COM-319,Online portal not working,rejected,2017-08-04
COM-320,PLY-80,TXN-COM-320,Portal access,resolved,2016-10-06
COM-321,PLY-80,TXN-COM-321,Portal stuck in middle,resolved,2015-11-20
COM-322,PLY-80,TXN-COM-322,Portal stuck in middle,resolved,2015-01-21
COM-323,PLY-81,TXN-COM-323,Change of contact number,rejected,2015-10-04
COM-324,PLY-81,TXN-COM-324,Change of mailing address,resolved,2015-02-04
COM-325,PLY-81,TXN-COM-325,Portal access,resolved,2015-03-24
COM-326,PLY-82,TXN-COM-326,Renewal intimation letter not received,resolved,2016-08-04
COM-327,PLY-82,TXN-COM-327,Portal stuck in middle,resolved,2016-11-21
COM-328,PLY-82,TXN-COM-328,Portal stuck in middle,resolved,2018-11-09
COM-329,PLY-82,TXN-COM-329,Online portal not working,resolved,2015-08-27
COM-330,PLY-82,TXN-COM-330,Portal access,resolved,2015-12-08
COM-331,PLY-83,TXN-COM-331,Renewal intimation letter not received,resolved,2018-12-05
COM-332,PLY-83,TXN-COM-332,Portal access,resolved,2015-09-25
COM-333,PLY-83,TXN-COM-333,Change of contact number,resolved,2018-10-09
COM-334,PLY-84,TXN-COM-334,Change of contact number,rejected,2016-06-12
COM-335,PLY-84,TXN-COM-335,Online portal not working,resolved,2016-09-11
COM-336,PLY-84,TXN-COM-336,Change of contact number,rejected,2016-06-12
COM-337,PLY-84,TXN-COM-337,Online portal not working,resolved,2016-12-06
COM-338,PLY-84,TXN-COM-338,Change of contact number,rejected,2018-08-05
COM-339,PLY-85,TXN-COM-339,Change of contact number,resolved,2015-08-31
COM-340,PLY-85,TXN-COM-340,Change of mailing address,resolved,2015-06-14
COM-341,PLY-85,TXN-COM-341,Portal access,resolved,2017-07-01
COM-342,PLY-86,TXN-COM-342,Portal access,resolved,2018-08-04
COM-343,PLY-86,TXN-COM-343,Renewal intimation letter not received,resolved,2018-12-03
COM-344,PLY-86,TXN-COM-344,Portal access,resolved,2015-05-03
COM-345,PLY-86,TXN-COM-345,Portal access,rejected,2015-05-27
COM-346,PLY-86,TXN-COM-346,Online portal not working,rejected,2015-08-18
COM-347,PLY-87,TXN-COM-347,Change of mailing address,resolved,2015-08-19
COM-348,PLY-87,TXN-COM-348,Online portal not working,resolved,2016-10-13
COM-349,PLY-87,TXN-COM-349,Change of contact number,resolved,2015-08-02
COM-350,PLY-88,TXN-COM-350,Renewal intimation letter not received,rejected,2015-12-06
COM-351,PLY-88,TXN-COM-351,Online portal not working,resolved,2018-02-10
COM-352,PLY-88,TXN-COM-352,Online portal not working,resolved,2017-12-27
COM-353,PLY-88,TXN-COM-353,Online portal not working,resolved,2018-04-30
COM-354,PLY-88,TXN-COM-354,Portal stuck in middle,resolved,2015-05-07
COM-355,PLY-89,TXN-COM-355,Renewal intimation letter not received,resolved,2016-02-15
COM-356,PLY-89,TXN-COM-356,Portal access,resolved,2017-06-20
COM-357,PLY-89,TXN-COM-357,Portal access,resolved,2017-10-30
