policyid,customerid,premium,avgclaimamount,tenure,date
PLY-242,081,3859,464468,5,2016-02-24
PLY-243,081,2411,439489,5,2017-04-27
PLY-244,081,4975,299769,5,2017-07-10
PLY-245,082,3723,374963,5,2018-06-30
PLY-246,082,3716,380057,5,2015-12-27
PLY-247,082,3635,255178,5,2017-12-30
PLY-248,083,4899,426818,5,2015-05-23
PLY-249,083,4709,409380,5,2016-08-04
PLY-250,083,3050,324146,5,2015-01-29
PLY-251,084,3758,253485,5,2017-01-21
PLY-252,084,4024,330967,5,2018-07-18
PLY-253,084,2644,430312,5,2018-09-14
PLY-254,085,2804,423664,5,2016-02-22
PLY-255,085,4209,467342,5,2015-05-02
PLY-256,085,2178,466412,5,2017-03-23
PLY-257,086,4707,258442,5,2018-09-01
PLY-258,086,4599,400365,5,2015-09-11
PLY-259,086,2794,490710,5,2017-03-03
PLY-260,087,3500,414666,5,2015-02-20
PLY-261,087,2364,333185,5,2015-03-27
PLY-262,087,3010,468291,5,2018-03-06
PLY-263,088,3679,464359,5,2016-05-13
PLY-264,088,4588,301781,5,2018-01-05
PLY-265,088,3675,259063,5,2017-07-30
PLY-266,089,4003,341763,5,2016-03-11
PLY-267,089,3402,449061,5,2017-11-21
PLY-268,089,4745,305704,5,2017-05-06
PLY-269,090,4828,488697,5,2017-07-25
PLY-270,090,4362,477935,5,2018-12-27
PLY-271,090,3470,261649,5,2016-10-30
PLY-272,091,2028,380171,5,2018-05-12
PLY-273,091,3332,416594,5,2018-09-06
PLY-274,091,4520,452331,5,2015-07-04
PLY-275,092,3842,424505,5,2015-05-24
PLY-276,092,3888,380915,5,2016-03-19
PLY-277,092,2449,311437,5,2015-11-04
PLY-278,093,4229,420748,5,2018-04-23
PLY-279,093,3699,419684,5,2017-05-31
PLY-280,093,2305,433343,5,2018-09-28
PLY-281,094,3315,436083,5,2017-01-23
PLY-282,094,3606,361093,5,2017-04-22
PLY-283,094,2134,361947,5,2016-10-04
PLY-284,095,2233,374493,5,2015-12-16
PLY-285,095,2286,479390,5,2018-03-18
PLY-286,095,4591,291812,5,2017-09-11
PLY-287,096,2238,343819,5,2017-02-16
PLY-288,096,4121,289208,5,2016-04-07
PLY-289,096,2223,283420,5,2016-03-09
PLY-290,097,4707,297410,5,2018-09-03
PLY-291,097,2928,316439,5,2015-09-30
PLY-292,097,2653,294212,5,2017-05-05
PLY-293,098,2593,488698,5,2017-05-02
PLY-294,098,4743,314392,5,2016-12-04
PLY-295,098,2314,402491,5,2018-12-02
PLY-296,099,2837,251232,5,2018-06-22
PLY-297,099,3216,331755,5,2018-10-12
PLY-298,099,3419,392933,5,2016-10-22
PLY-299,0100,4809,370484,5,2017-03-12
PLY-300,0100,2770,461963,5,2015-12-23
PLY-301,0100,3725,300683,5,2017-08-10
PLY-302,0101,3734,477924,5,2016-11-12
PLY-303,0101,3100,311952,5,2015-12-21
PLY-304,0101,2276,378522,5,2015-02-02
PLY-305,0102,3746,411272,5,2017-09-15
PLY-306,0102,3431,314418,5,2016-06-03
PLY-307,0102,4707,325962,5,2015-12-18
PLY-308,0103,2668,437188,5,2015-09-15
PLY-309,0103,3644,482643,5,2018-07-08
PLY-310,0103,4562,432394,5,2016-02-25
PLY-311,0104,2516,344284,5,2017-08-10
PLY-312,0104,2819,403847,5,2015-08-26
PLY-313,0104,4478,473790,5,2018-09-07
PLY-314,0105,2627,470452,5,2015-03-28
PLY-315,0105,3853,334394,5,2017-12-10
PLY-316,0105,3525,453433,5,2017-07-11
PLY-317,0106,4159,410815,5,2018-08-15
PLY-318,0106,2776,446557,5,2015-02-14
PLY-319,0106,3258,347096,5,2018-09-03
PLY-320,0107,2645,436608,5,2018-02-12
PLY-321,0107,2987,275251,5,2017-03-17
PLY-322,0107,2455,464075,5,2016-05-29
PLY-323,0108,4631,293119,5,2015-05-13
PLY-324,0108,2981,458095,5,2018-08-31
PLY-325,0108,3304,307963,5,2018-03-12
PLY-326,0109,4658,477627,5,2016-03-31
PLY-327,0109,4027,394133,5,2018-03-30
PLY-328,0109,2686,263701,5,2017-11-19
PLY-329,0110,3517,401349,5,2018-06-23
PLY-330,0110,2411,450532,5,2017-06-07
PLY-331,0110,3632,323928,5,2016-08-29
PLY-332,0111,4071,473364,5,2017-05-22
PLY-333,0111,3982,390195,5,2015-10-13
PLY-334,0111,4649,393032,5,2018-12-27
PLY-335,0112,3117,438991,5,2017-07-14
PLY-336,0112,3774,389220,5,2016-04-24
PLY-337,0112,2597,309233,5,2015-03-16
PLY-338,0113,3136,469242,5,2017-01-12
PLY-339,0113,4218,420641,5,2015-02-26
PLY-340,0113,4649,450639,5,2018-09-21
PLY-341,0114,2617,457172,5,2015-09-10
PLY-342,0114,3346,300422,5,2017-12-18
PLY-343,0114,3500,289686,5,2016-12-20
PLY-344,0115,3844,308977,5,2018-02-07
PLY-345,0115,2294,282918,5,2015-01-28
PLY-346,0115,3101,409928,5,2017-01-21
PLY-347,0116,4283,482817,5,2015-05-29
PLY-348,0116,2392,457713,5,2015-06-12
PLY-349,0116,3641,340605,5,2016-11-13
PLY-350,0117,2440,412533,5,2016-01-11
PLY-351,0117,3027,357930,5,2016-11-07
PLY-352,0117,4858,273343,5,2018-09-07
PLY-353,0118,2915,444167,5,2015-01-28
PLY-354,0118,4038,337322,5,2016-07-29
PLY-355,0118,4926,403099,5,2018-07-10
PLY-356,0119,2267,326474,5,2017-08-20
PLY-357,0119,3765,261725,5,2016-05-14
PLY-358,0119,3404,371997,5,2016-10-25
PLY-359,0120,4468,384482,5,2017-11-13
PLY-360,0120,3985,301608,5,2017-04-01
PLY-361,0120,3661,446068,5,2018-07-20
PLY-362,0121,3614,473832,5,2018-09-15
PLY-363,0121,4964,431179,5,2016-01-14
PLY-364,0121,3399,467854,5,2017-07-11
PLY-365,0122,4386,322078,5,2017-06-05
PLY-366,0122,2084,310210,5,2018-03-02
PLY-367,0122,3920,436055,5,2017-01-16
PLY-368,0123,2069,353395,5,2016-10-16
PLY-369,0123,3089,485036,5,2018-02-02
PLY-370,0123,4074,295261,5,2016-01-10
PLY-371,0124,2685,290094,5,2017-01-26
PLY-372,0124,4426,298671,5,2018-02-10
PLY-373,0124,4654,396569,5,2016-07-21
PLY-374,0125,4138,404282,5,2018-07-25
PLY-375,0125,4036,268157,5,2017-11-07
PLY-376,0125,3203,402307,5,2016-09-28
PLY-377,0126,2716,263971,5,2015-03-31
PLY-378,0126,2416,333039,5,2015-05-03
PLY-379,0126,3662,280166,5,2018-06-17
PLY-380,0127,4658,411415,5,2017-06-09
PLY-381,0127,4466,405271,5,2016-09-24
PLY-382,0127,4120,355763,5,2018-02-26
PLY-383,0128,3553,444267,5,2015-05-10
PLY-384,0128,2058,333430,5,2016-08-02
PLY-385,0128,2881,273891,5,2016-12-08
PLY-386,0129,3681,362405,5,2018-05-26
PLY-387,0129,2490,346587,5,2015-02-09
PLY-388,0129,2072,391123,5,2017-08-28
PLY-389,0130,2655,416518,5,2016-12-22
PLY-390,0130,2463,376110,5,2017-08-28
PLY-391,0130,4022,499222,5,2017-07-30
PLY-392,0131,4160,334616,5,2017-04-17
PLY-393,0131,3429,310981,5,2016-12-11
PLY-394,0131,2922,324325,5,2016-03-25
PLY-395,0132,2680,338560,5,2015-07-26
PLY-396,0132,3866,250275,5,2018-07-12
PLY-397,0132,4572,353037,5,2017-02-06
PLY-398,0133,4092,362092,5,2018-07-11
PLY-399,0133,3005,420848,5,2018-03-12
PLY-400,0133,3671,368069,5,2016-01-26
PLY-401,0134,4404,461269,5,2016-09-30
PLY-402,0134,2214,314606,5,2017-06-05
PLY-403,0134,4126,305124,5,2016-07-16
PLY-404,0135,3584,290999,5,2018-03-26
PLY-405,0135,2059,310161,5,2016-08-29
PLY-406,0135,4036,336199,5,2018-06-10
PLY-407,0136,2457,450531,5,2018-01-05
PLY-408,0136,3490,312238,5,2018-01-15
PLY-409,0136,2540,255303,5,2016-12-29
PLY-410,0137,2696,477577,5,2016-08-18
PLY-411,0137,2337,407866,5,2015-07-21
PLY-412,0137,3689,446068,5,2018-02-06
PLY-413,0138,3866,346982,5,2018-09-16
PLY-414,0138,3620,446323,5,2018-07-14
PLY-415,0138,2132,355651,5,2015-09-01
PLY-416,0139,3198,368236,5,2016-01-15
PLY-417,0139,4632,302208,5,2016-11-25
PLY-418,0139,3552,320022,5,2015-04-13
PLY-419,0140,2001,288611,5,2017-06-02
PLY-420,0140,2821,415580,5,2018-01-18
PLY-421,0140,3723,311880,5,2015-03-08
PLY-422,0141,3891,267255,5,2015-02-02
PLY-423,0141,3598,282582,5,2015-02-15
PLY-424,0141,4708,353826,5,2016-01-18
PLY-425,0142,3718,375981,5,2017-03-10
PLY-426,0142,2954,295034,5,2017-01-15
PLY-427,0142,3344,475134,5,2018-07-22
PLY-428,0143,3660,340921,5,2015-08-27
PLY-429,0143,3262,329105,5,2017-08-20
PLY-430,0143,2934,497224,5,2016-12-30
PLY-431,0144,3278,452463,5,2017-10-11
PLY-432,0144,3541,427763,5,2015-01-27
PLY-433,0144,2094,341361,5,2015-12-05
PLY-434,0145,3782,315408,5,2015-12-11
PLY-435,0145,2277,344575,5,2015-06-20
PLY-436,0145,2707,413805,5,2015-10-12
PLY-437,0146,4169,284877,5,2016-01-01
PLY-438,0146,3398,423400,5,2016-11-24
PLY-439,0146,3306,405797,5,2017-02-06
PLY-440,0147,2760,432108,5,2015-12-06
PLY-441,0147,4581,265708,5,2017-02-19
PLY-442,0147,3173,400649,5,2016-05-16
PLY-443,0148,4884,274471,5,2018-10-16
PLY-444,0148,4428,270909,5,2016-12-26
PLY-445,0148,3228,343591,5,2017-02-05
PLY-446,0149,2788,331177,5,2018-08-20
PLY-447,0149,2882,440176,5,2016-10-02
PLY-448,0149,3271,438839,5,2016-06-20
PLY-449,0150,4531,382895,5,2017-08-07
PLY-450,0150,2963,459692,5,2016-03-05
PLY-451,0150,2142,288894,5,2017-05-04
PLY-452,0151,3973,378246,5,2015-06-24
PLY-453,0151,3344,432418,5,2015-10-24
PLY-454,0151,4669,258926,5,2015-02-10
PLY-455,0152,2054,377227,5,2018-12-31
PLY-456,0152,2207,282525,5,2016-04-21
PLY-457,0152,3617,308900,5,2016-07-28
PLY-458,0153,2523,474095,5,2016-06-15
PLY-459,0153,4941,263270,5,2017-09-20
PLY-460,0153,3066,490305,5,2015-09-29
PLY-461,0154,3800,484557,5,2018-03-15
PLY-462,0154,3123,378142,5,2018-10-18
PLY-463,0154,3254,256961,5,2016-07-16
PLY-464,0155,4905,433337,5,2017-03-13
PLY-465,0155,2050,340570,5,2015-01-14
PLY-466,0155,3509,441643,5,2017-11-10
PLY-467,0156,4031,391483,5,2015-04-01
PLY-468,0156,2477,444169,5,2015-07-04
PLY-469,0156,4352,496197,5,2018-04-27
PLY-470,0157,2165,337327,5,2016-01-20
PLY-471,0157,3761,351882,5,2016-07-29
PLY-472,0157,3448,429255,5,2018-03-23
PLY-473,0158,4839,251535,5,2016-06-24
PLY-474,0158,3324,328012,5,2017-02-15
PLY-475,0158,2726,348436,5,2015-08-09
PLY-476,0159,3822,429593,5,2018-07-12
PLY-477,0159,3041,449552,5,2018-07-20
PLY-478,0159,3322,464115,5,2018-04-05
PLY-479,0160,4558,323526,5,2016-02-22
PLY-480,0160,4917,381367,5,2016-08-17
PLY-481,0160,2574,438612,5,2018-12-13
PLY-482,0161,2919,314153,5,2018-10-28
PLY-483,0161,2815,395224,5,2015-08-20
PLY-484,0161,3299,461461,5,2015-05-19
PLY-485,0162,2968,337057,5,2016-01-23
PLY-486,0162,3084,318208,5,2016-01-10
PLY-487,0162,2871,408630,5,2015-05-18
PLY-488,0163,3230,466210,5,2015-06-02
PLY-489,0163,4342,411430,5,2017-04-15
PLY-490,0163,2805,458043,5,2015-06-28
PLY-491,0164,2924,303306,5,2015-12-25
PLY-492,0164,3011,300829,5,2018-07-17
PLY-493,0164,4533,478145,5,2018-10-14
PLY-494,0165,2376,417938,5,2018-07-17
PLY-495,0165,2064,498653,5,2018-01-08
PLY-496,0165,4045,272305,5,2017-12-17
PLY-497,0166,2271,267001,5,2017-06-21
PLY-498,0166,4440,403140,5,2016-07-19
PLY-499,0166,3639,263329,5,2017-12-29
PLY-500,0167,2404,279259,5,2016-03-09
PLY-501,0167,3525,380058,5,2016-06-26
PLY-502,0167,3124,289843,5,2018-07-11
PLY-503,0168,3374,475951,5,2015-07-12
PLY-504,0168,4917,388984,5,2015-02-28
PLY-505,0168,3256,426562,5,2015-02-09
PLY-506,0169,2594,370717,5,2017-10-30
PLY-507,0169,3685,368301,5,2018-12-01
PLY-508,0169,3653,405496,5,2015-10-21
PLY-509,0170,2650,255607,5,2018-10-06
PLY-510,0170,3608,400845,5,2017-06-09
PLY-511,0170,4072,302276,5,2016-11-30
PLY-512,0171,4779,451135,5,2015-05-26
PLY-513,0171,4396,265188,5,2016-02-03
PLY-514,0171,3044,453347,5,2016-11-11
PLY-515,0172,3760,354902,5,2017-06-14
PLY-516,0172,4909,482039,5,2016-01-31
PLY-517,0172,3129,441870,5,2018-12-19
PLY-518,0173,4195,298933,5,2016-04-28
PLY-519,0173,2839,332526,5,2018-10-01
PLY-520,0173,3886,315859,5,2017-04-28
PLY-521,0174,3714,417504,5,2017-02-12
PLY-522,0174,3010,362074,5,2015-10-26
PLY-523,0174,2648,496784,5,2016-10-01
PLY-524,0175,3032,264475,5,2016-09-26
PLY-525,0175,3894,476662,5,2016-10-13
PLY-526,0175,4651,405029,5,2016-09-24
PLY-527,0176,2386,429673,5,2017-05-30
PLY-528,0176,2614,416694,5,2018-05-06
PLY-529,0176,4648,459854,5,2017-04-23
PLY-530,0177,3016,400696,5,2018-03-11
PLY-531,0177,2229,445144,5,2015-10-26
PLY-532,0177,4398,475950,5,2015-09-27
PLY-533,0178,2917,392741,5,2015-06-04
PLY-534,0178,2148,398220,5,2018-04-16
PLY-535,0178,3883,379498,5,2017-07-01
PLY-536,0179,3969,371038,5,2017-02-08
PLY-537,0179,3909,455868,5,2015-02-09
PLY-538,0179,2338,269899,5,2018-04-17
PLY-539,0180,2032,369247,5,2017-04-29
PLY-540,0180,3955,302153,5,2018-10-29
PLY-541,0180,4255,466353,5,2015-12-19
PLY-542,0181,2067,294088,5,2017-08-27
PLY-543,0181,2074,490162,5,2015-04-23
PLY-544,0181,4565,255632,5,2016-03-04
PLY-545,0182,4326,403998,5,2016-12-25
PLY-546,0182,3823,308235,5,2017-01-17
PLY-547,0182,4550,288111,5,2018-12-31
PLY-548,0183,4680,347815,5,2016-09-25
PLY-549,0183,4412,387402,5,2015-11-07
PLY-550,0183,3605,341528,5,2017-12-07
PLY-551,0184,3372,445794,5,2016-01-28
PLY-552,0184,2199,348613,5,2016-04-28
PLY-553,0184,2547,332979,5,2016-08-16
PLY-554,0185,2071,323680,5,2016-09-03
PLY-555,0185,4408,374488,5,2016-07-18
PLY-556,0185,4651,499930,5,2018-10-12
PLY-557,0186,4241,496690,5,2016-07-07
PLY-558,0186,2134,494485,5,2016-10-23
PLY-559,0186,4725,404763,5,2018-08-26
PLY-560,0187,2482,383105,5,2016-12-19
PLY-561,0187,4946,323513,5,2015-05-23
PLY-562,0187,2707,340234,5,2016-05-16
PLY-563,0188,2234,385946,5,2016-12-28
PLY-564,0188,4909,266429,5,2018-03-14
PLY-565,0188,4546,364748,5,2018-07-20
PLY-566,0189,3868,292890,5,2016-07-29
PLY-567,0189,3678,498794,5,2016-02-26
PLY-568,0189,4417,483687,5,2018-11-30
PLY-569,0190,3856,307877,5,2018-09-05
PLY-570,0190,4684,315466,5,2017-04-14
PLY-571,0190,4229,462654,5,2015-08-02
PLY-572,0191,4274,358364,5,2017-12-18
PLY-573,0191,2027,369277,5,2015-04-04
PLY-574,0191,3103,277142,5,2016-01-29
PLY-575,0192,4304,431541,5,2017-02-11
PLY-576,0192,2130,361239,5,2015-12-10
PLY-577,0192,3922,407854,5,2018-10-26
PLY-578,0193,2185,253986,5,2017-10-02
PLY-579,0193,2980,337012,5,2015-08-13
PLY-580,0193,4281,360586,5,2016-08-29
PLY-581,0194,2412,404967,5,2015-04-05
PLY-582,0194,4810,250214,5,2017-12-09
PLY-583,0194,4326,308898,5,2016-02-28
PLY-584,0195,3330,340812,5,2015-07-02
PLY-585,0195,2804,321690,5,2016-04-03
PLY-586,0195,3933,284757,5,2015-10-12
PLY-587,0196,2801,392352,5,2018-06-02
PLY-588,0196,4133,467614,5,2018-02-18
PLY-589,0196,3936,394505,5,2015-08-02
PLY-590,0197,2731,322713,5,2016-02-26
PLY-591,0197,4953,258623,5,2018-10-24
PLY-592,0197,4587,446820,5,2018-05-04
PLY-593,0198,3066,297063,5,2016-01-17
